utc,irradiance,qualityflags,irradiancetype
2021-05-09 01:30:29.582042,-0.013771477720582738,268533840,3
2021-05-09 01:31:19.581204,0.0012172659110582125,268533840,3
2021-05-09 01:32:09.580220,0.07216982672531536,268533840,3
2021-05-09 01:39:39.572013,38.367888750091815,65618,0
2021-05-09 01:40:29.587667,33.867978065861934,65618,0
2021-05-09 01:41:19.586745,35.57826422312342,65618,0
2021-05-09 01:42:09.585828,44.8031250593117,65618,0
2021-05-09 01:42:59.584909,54.80951299466616,65618,0
2021-05-09 01:43:49.583986,52.79777673828143,65618,0
2021-05-09 01:44:39.583084,45.93433841517968,65618,0
2021-05-09 01:45:29.582162,57.24138435399154,65618,0
2021-05-09 01:46:19.581259,80.9776770157138,65618,0
2021-05-09 01:47:09.580333,83.42547680822993,65618,0
2021-05-09 01:47:59.579420,60.10492249412081,65618,0
2021-05-09 01:48:49.578507,42.13482989490622,65554,0
2021-05-09 01:49:39.577591,99.20763825757417,65554,0
2021-05-09 01:50:29.576669,340.84867591212003,65554,0
2021-05-09 01:51:19.575752,742.2717178605636,65554,0
2021-05-09 01:52:09.574938,1097.8435728122213,65554,0
2021-05-09 01:52:59.574004,1285.0292430004067,65554,0
2021-05-09 01:53:49.573070,1348.9234704697813,65554,0
2021-05-09 01:54:39.572176,1361.464507808597,65554,0
2021-05-09 01:55:29.571251,1361.6602385892463,65536,0
2021-05-09 01:56:19.570326,1361.6489195383865,65536,0
2021-05-09 01:57:09.569406,1361.6448142478307,65536,0
2021-05-09 01:57:59.568496,1361.6507961830073,65536,0
2021-05-09 01:58:49.567558,1361.66111515904,65536,0
2021-05-09 01:59:39.566642,1361.6708294497373,0,1
2021-05-09 02:00:29.565706,1361.6812795437127,0,1
2021-05-09 02:01:19.564806,1361.693450480272,0,1
2021-05-09 02:02:09.563867,1361.702894311438,0,1
2021-05-09 02:02:59.562955,1361.7092280341926,0,1
2021-05-09 02:03:49.562026,1361.7216860226488,0,1
2021-05-09 02:04:39.561110,1361.7423622570577,0,1
2021-05-09 02:05:29.560176,1361.75993621091,0,1
2021-05-09 02:06:19.559262,1361.765704934316,0,1
2021-05-09 02:07:09.558341,1361.7591991786608,0,1
2021-05-09 02:07:59.574047,1361.7423295742412,0,1
2021-05-09 02:08:49.573136,1361.7184678107358,0,1
2021-05-09 02:09:39.572218,1361.6908955191323,0,1
2021-05-09 02:10:29.571299,1361.6608431005718,0,1
2021-05-09 02:11:19.570387,1361.6343586133548,0,1
2021-05-09 02:12:09.569459,1361.6230802957186,0,1
2021-05-09 02:12:59.568530,1361.627200825762,0,1
2021-05-09 02:13:49.567614,1361.6353531605957,0,1
2021-05-09 02:14:39.566804,1361.6447458301914,0,1
2021-05-09 02:15:29.565880,1361.6611318189034,0,1
2021-05-09 02:16:19.564969,1361.6841052627158,0,1
2021-05-09 02:17:09.564051,1361.7074420218298,0,1
2021-05-09 02:17:59.563136,1361.7267170717366,0,1
2021-05-09 02:18:49.562229,1361.7388518317814,0,1
2021-05-09 02:19:39.561319,1361.7458510048743,0,1
2021-05-09 02:20:29.560408,1361.7561247415606,0,1
2021-05-09 02:21:19.559498,1361.7671385722183,0,1
2021-05-09 02:22:09.558570,1361.7646559445236,0,1
2021-05-09 02:22:59.557656,1361.751156311336,0,1
2021-05-09 02:23:49.556751,1361.7445696349344,0,1
2021-05-09 02:24:39.555848,1361.7519710603337,0,1
2021-05-09 02:25:29.554930,1361.7702351988544,65536,0
2021-05-09 02:26:19.554018,1361.7881350934235,65536,0
2021-05-09 02:27:09.553110,1361.7885604894914,65536,0
2021-05-09 02:27:59.552191,1361.7769462773972,65600,0
2021-05-09 02:28:49.551299,1361.779056135371,65600,0
2021-05-09 02:29:39.550385,1361.8429941165575,65616,0
2021-05-09 02:30:29.549479,1356.7008904793145,65618,0
2021-05-09 02:31:19.548561,1263.1971822425865,65618,0
2021-05-09 02:32:09.547653,935.5501694871596,65618,0
2021-05-09 02:32:59.546747,456.242731389792,65618,0
